Site,Year,Date,Plot,Location,Snow_cover,Water_cover,Land_cover,Total_cover,Observer,Notes
barr,2011,29-May-11,brw1,l2,50,0,50,100,adoll,NA
barr,2011,29-May-11,brw1,l4,85,0,15,100,adoll,NA
barr,2011,29-May-11,brw1,l6,90,0,10,100,adoll,NA
barr,2011,29-May-11,brw1,l8,85,0,15,100,adoll,NA
barr,2011,29-May-11,brw2,b10,90,0,10,100,adoll,NA
barr,2011,29-May-11,brw2,b12,95,0,5,100,adoll,NA
barr,2011,29-May-11,brw2,b2,20,10,70,100,adoll,NA
barr,2011,29-May-11,brw2,b4,40,0,60,100,adoll,NA
barr,2011,29-May-11,brw2,b6,50,0,50,100,adoll,NA
barr,2011,29-May-11,brw2,b8,60,0,40,100,adoll,NA
barr,2011,29-May-11,brw2,d10,50,0,50,100,adoll,NA
barr,2011,29-May-11,brw2,d12,40,5,55,100,adoll,NA
barr,2011,29-May-11,brw2,d2,10,10,80,100,adoll,NA
barr,2011,29-May-11,brw2,d4,20,10,70,100,adoll,NA
barr,2011,29-May-11,brw2,d6,20,5,75,100,adoll,NA
barr,2011,29-May-11,brw2,d8,40,0,60,100,adoll,NA
barr,2011,29-May-11,brw2,f10,40,5,55,100,adoll,NA
barr,2011,29-May-11,brw2,f12,30,0,70,100,adoll,NA
barr,2011,29-May-11,brw2,f2,65,0,35,100,adoll,NA
barr,2011,29-May-11,brw2,f4,20,0,80,100,adoll,NA
barr,2011,29-May-11,brw2,f6,20,0,80,100,adoll,NA
barr,2011,29-May-11,brw2,f8,40,0,60,100,adoll,NA
barr,2011,29-May-11,brw2,h10,60,0,40,100,adoll,NA
barr,2011,29-May-11,brw2,h12,90,0,10,100,adoll,NA
barr,2011,29-May-11,brw2,h2,50,10,40,100,adoll,NA
barr,2011,29-May-11,brw2,h4,50,10,40,100,adoll,NA
barr,2011,29-May-11,brw2,h6,30,0,70,100,adoll,NA
barr,2011,29-May-11,brw2,h8,10,10,80,100,adoll,NA
barr,2011,29-May-11,brw2,j10,80,0,20,100,adoll,NA
barr,2011,29-May-11,brw2,j12,80,0,20,100,adoll,NA
barr,2011,29-May-11,brw2,j2,70,5,25,100,adoll,NA
barr,2011,29-May-11,brw2,j4,40,0,60,100,adoll,NA
barr,2011,29-May-11,brw2,j6,30,10,60,100,adoll,NA
barr,2011,29-May-11,brw2,j8,60,0,40,100,adoll,NA
barr,2011,29-May-11,brw2,l10,75,5,20,100,adoll,NA
barr,2011,29-May-11,brw2,l12,60,0,40,100,adoll,NA
barr,2011,29-May-11,brw2,l2,60,10,30,100,adoll,NA
barr,2011,29-May-11,brw2,l4,40,5,55,100,adoll,NA
barr,2011,29-May-11,brw2,l6,50,0,50,100,adoll,NA
barr,2011,29-May-11,brw2,l8,60,0,40,100,adoll,NA
barr,2011,29-May-11,brw6,b10,10,15,75,100,adoll,NA
barr,2011,29-May-11,brw6,b12,70,0,30,100,adoll,NA
barr,2011,29-May-11,brw6,b2,80,0,20,100,adoll,NA
barr,2011,29-May-11,brw6,b4,90,0,10,100,adoll,NA
barr,2011,29-May-11,brw6,b6,95,0,5,100,adoll,NA
barr,2011,29-May-11,brw6,b8,10,25,65,100,adoll,NA
barr,2011,29-May-11,brw6,d10,40,5,55,100,adoll,NA
barr,2011,29-May-11,brw6,d12,50,5,45,100,adoll,NA
barr,2011,29-May-11,brw6,d8,60,20,20,100,adoll,NA
barr,2011,29-May-11,brw6,f10,10,5,85,100,adoll,NA
barr,2011,29-May-11,brw6,f12,50,0,50,100,adoll,NA
barr,2011,29-May-11,brw6,h10,20,20,60,100,adoll,NA
barr,2011,29-May-11,brw6,h12,10,10,80,100,adoll,NA
barr,2011,29-May-11,brw6,h6,0,0,100,100,adoll,NA
barr,2011,29-May-11,brw6,h8,90,0,10,100,adoll,NA
barr,2011,29-May-11,brw6,j10,60,30,10,100,adoll,NA
barr,2011,29-May-11,brw6,j12,15,20,65,100,adoll,NA
barr,2011,29-May-11,brw6,l10,100,0,0,100,adoll,NA
barr,2011,29-May-11,brw6,l12,40,0,60,100,adoll,NA
barr,2011,29-May-11,brw3,b10,85,0,15,100,jcunningham,NA
barr,2011,29-May-11,brw3,b12,60,0,40,100,jcunningham,NA
barr,2011,29-May-11,brw3,b2,60,0,40,100,jcunningham,NA
barr,2011,29-May-11,brw3,b4,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw3,b6,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw3,b8,75,0,25,100,jcunningham,NA
barr,2011,29-May-11,brw3,d10,95,0,5,100,jcunningham,NA
barr,2011,29-May-11,brw3,d12,65,0,35,100,jcunningham,NA
barr,2011,29-May-11,brw3,d2,80,0,20,100,jcunningham,NA
barr,2011,29-May-11,brw3,d4,85,0,15,100,jcunningham,NA
barr,2011,29-May-11,brw3,d6,95,0,5,100,jcunningham,NA
barr,2011,29-May-11,brw3,d8,95,0,5,100,jcunningham,NA
barr,2011,29-May-11,brw3,f10,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,f12,95,0,5,100,jcunningham,NA
barr,2011,29-May-11,brw3,f2,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw3,f4,60,0,40,100,jcunningham,NA
barr,2011,29-May-11,brw3,f6,85,0,15,100,jcunningham,NA
barr,2011,29-May-11,brw3,f8,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw3,h10,95,0,5,100,jcunningham,NA
barr,2011,29-May-11,brw3,h12,95,0,5,100,jcunningham,NA
barr,2011,29-May-11,brw3,h2,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,h4,95,0,5,100,jcunningham,NA
barr,2011,29-May-11,brw3,h6,50,0,50,100,jcunningham,NA
barr,2011,29-May-11,brw3,h8,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j10,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j12,75,0,25,100,jcunningham,NA
barr,2011,29-May-11,brw3,j2,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,j4,70,0,30,100,jcunningham,NA
barr,2011,29-May-11,brw3,j6,60,0,40,100,jcunningham,NA
barr,2011,29-May-11,brw3,j8,70,0,30,100,jcunningham,NA
barr,2011,29-May-11,brw3,l10,80,0,20,100,jcunningham,NA
barr,2011,29-May-11,brw3,l12,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw3,l2,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw3,l4,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw3,l6,70,0,30,100,jcunningham,NA
barr,2011,29-May-11,brw3,l8,70,5,25,100,jcunningham,NA
barr,2011,29-May-11,brw5,b10,75,0,25,100,jcunningham,NA
barr,2011,29-May-11,brw5,b12,60,0,40,100,jcunningham,NA
barr,2011,29-May-11,brw5,b2,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,b4,95,0,5,100,jcunningham,NA
barr,2011,29-May-11,brw5,b6,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw5,b8,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw5,d10,70,0,30,100,jcunningham,NA
barr,2011,29-May-11,brw5,d12,100,0,0,100,jcunningham,NA
barr,2011,29-May-11,brw5,d2,95,0,5,100,jcunningham,NA
barr,2011,29-May-11,brw5,d4,85,0,15,100,jcunningham,NA
barr,2011,29-May-11,brw5,d6,30,0,70,100,jcunningham,NA
barr,2011,29-May-11,brw5,d8,55,0,45,100,jcunningham,NA
barr,2011,29-May-11,brw5,f10,65,0,35,100,jcunningham,NA
barr,2011,29-May-11,brw5,f12,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw5,f2,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw5,f4,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw5,f6,50,0,50,100,jcunningham,NA
barr,2011,29-May-11,brw5,f8,75,0,25,100,jcunningham,NA
barr,2011,29-May-11,brw5,h10,70,5,25,100,jcunningham,NA
barr,2011,29-May-11,brw5,h12,50,0,50,100,jcunningham,NA
barr,2011,29-May-11,brw5,h2,50,0,50,100,jcunningham,NA
barr,2011,29-May-11,brw5,h4,85,0,15,100,jcunningham,NA
barr,2011,29-May-11,brw5,h6,60,0,40,100,jcunningham,NA
barr,2011,29-May-11,brw5,h8,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw5,j10,70,0,30,100,jcunningham,NA
barr,2011,29-May-11,brw5,j12,75,0,25,100,jcunningham,NA
barr,2011,29-May-11,brw5,j2,65,0,35,100,jcunningham,NA
barr,2011,29-May-11,brw5,j4,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw5,j6,75,0,25,100,jcunningham,NA
barr,2011,29-May-11,brw5,j8,70,5,25,100,jcunningham,NA
barr,2011,29-May-11,brw5,l10,80,0,20,100,jcunningham,NA
barr,2011,29-May-11,brw5,l12,95,0,5,100,jcunningham,NA
barr,2011,29-May-11,brw5,l2,80,0,20,100,jcunningham,NA
barr,2011,29-May-11,brw5,l4,75,0,25,100,jcunningham,NA
barr,2011,29-May-11,brw5,l6,85,0,15,100,jcunningham,NA
barr,2011,29-May-11,brw5,l8,75,0,25,100,jcunningham,NA
barr,2011,29-May-11,brw8,b10,90,0,10,100,jcunningham,NA
barr,2011,29-May-11,brw8,b12,50,30,20,100,jcunningham,NA
barr,2011,29-May-11,brw8,b2,75,20,5,100,jcunningham,NA
barr,2011,29-May-11,brw8,b4,50,15,35,100,jcunningham,NA
barr,2011,29-May-11,brw8,b6,35,15,50,100,jcunningham,NA
barr,2011,29-May-11,brw8,b8,15,40,45,100,jcunningham,NA
barr,2011,29-May-11,brw8,d10,45,5,50,100,jcunningham,NA
barr,2011,29-May-11,brw8,d12,35,5,60,100,jcunningham,NA
barr,2011,29-May-11,brw8,d2,75,5,20,100,jcunningham,NA
barr,2011,29-May-11,brw8,d4,45,25,30,100,jcunningham,NA
barr,2011,29-May-11,brw8,d6,30,10,60,100,jcunningham,NA
barr,2011,29-May-11,brw8,d8,50,5,45,100,jcunningham,NA
barr,2011,29-May-11,brw8,f10,35,35,30,100,jcunningham,NA
barr,2011,29-May-11,brw8,f12,25,40,35,100,jcunningham,NA
barr,2011,29-May-11,brw8,f2,70,20,10,100,jcunningham,NA
barr,2011,29-May-11,brw8,f4,70,20,10,100,jcunningham,NA
barr,2011,29-May-11,brw8,f6,45,5,50,100,jcunningham,NA
barr,2011,29-May-11,brw8,f8,50,10,40,100,jcunningham,NA
barr,2011,29-May-11,brw8,h10,80,5,15,100,jcunningham,NA
barr,2011,29-May-11,brw8,h12,80,15,5,100,jcunningham,NA
barr,2011,29-May-11,brw8,h2,75,5,20,100,jcunningham,NA
barr,2011,29-May-11,brw8,h4,80,10,10,100,jcunningham,NA
barr,2011,29-May-11,brw8,h6,80,5,15,100,jcunningham,NA
barr,2011,29-May-11,brw8,h8,70,5,25,100,jcunningham,NA
barr,2011,29-May-11,brw8,j10,75,10,15,100,jcunningham,NA
barr,2011,29-May-11,brw8,j12,20,15,65,100,jcunningham,NA
barr,2011,29-May-11,brw8,j2,75,5,20,100,jcunningham,NA
barr,2011,29-May-11,brw8,j4,85,0,15,100,jcunningham,NA
barr,2011,29-May-11,brw8,j6,60,10,30,100,jcunningham,NA
barr,2011,29-May-11,brw8,j8,60,0,40,100,jcunningham,NA
barr,2011,29-May-11,brw8,l10,45,15,40,100,jcunningham,NA
barr,2011,29-May-11,brw8,l12,20,10,70,100,jcunningham,NA
barr,2011,29-May-11,brw8,l2,40,5,55,100,jcunningham,NA
barr,2011,29-May-11,brw8,l4,75,0,25,100,jcunningham,NA
barr,2011,29-May-11,brw8,l6,85,0,15,100,jcunningham,NA
barr,2011,29-May-11,brw8,l8,80,5,15,100,jcunningham,NA
barr,2011,31-May-11,brw3,b10,90,5,5,100,abankert,NA
barr,2011,31-May-11,brw3,b12,50,0,50,100,abankert,NA
barr,2011,31-May-11,brw3,b2,70,0,30,100,abankert,NA
barr,2011,31-May-11,brw3,b4,80,0,20,100,abankert,NA
barr,2011,31-May-11,brw3,b6,80,0,20,100,abankert,NA
barr,2011,31-May-11,brw3,b8,80,0,20,100,abankert,NA
barr,2011,31-May-11,brw3,d12,70,0,30,100,abankert,NA
barr,2011,31-May-11,brw3,d2,80,0,20,100,abankert,NA
barr,2011,31-May-11,brw3,d4,90,0,10,100,abankert,NA
barr,2011,31-May-11,brw3,d6,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,d8,80,0,20,100,abankert,NA
barr,2011,31-May-11,brw3,f10,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,f12,90,0,10,100,abankert,NA
barr,2011,31-May-11,brw3,f2,90,0,10,100,abankert,NA
barr,2011,31-May-11,brw3,f4,70,0,30,100,abankert,NA
barr,2011,31-May-11,brw3,f6,90,0,10,100,abankert,NA
barr,2011,31-May-11,brw3,f8,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,h10,90,0,10,100,abankert,NA
barr,2011,31-May-11,brw3,h12,90,0,10,100,abankert,NA
barr,2011,31-May-11,brw3,h2,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,h4,80,0,20,100,abankert,NA
barr,2011,31-May-11,brw3,h6,50,0,50,100,abankert,NA
barr,2011,31-May-11,brw3,h8,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j10,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j12,70,0,30,100,abankert,NA
barr,2011,31-May-11,brw3,j2,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,j4,80,0,20,100,abankert,NA
barr,2011,31-May-11,brw3,j6,60,0,40,100,abankert,NA
barr,2011,31-May-11,brw3,j8,70,0,30,100,abankert,NA
barr,2011,31-May-11,brw3,l10,80,0,20,100,abankert,NA
barr,2011,31-May-11,brw3,l12,80,0,20,100,abankert,NA
barr,2011,31-May-11,brw3,l2,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw3,l4,90,0,10,100,abankert,NA
barr,2011,31-May-11,brw3,l6,70,0,30,100,abankert,NA
barr,2011,31-May-11,brw3,l8,70,0,30,100,abankert,NA
barr,2011,31-May-11,brw6,b10,5,20,75,100,abankert,NA
barr,2011,31-May-11,brw6,b12,30,15,55,100,abankert,NA
barr,2011,31-May-11,brw6,b2,50,10,40,100,abankert,NA
barr,2011,31-May-11,brw6,b4,70,0,30,100,abankert,NA
barr,2011,31-May-11,brw6,b6,90,0,10,100,abankert,NA
barr,2011,31-May-11,brw6,b8,20,10,70,100,abankert,NA
barr,2011,31-May-11,brw6,d10,40,5,55,100,abankert,NA
barr,2011,31-May-11,brw6,d12,30,10,60,100,abankert,NA
barr,2011,31-May-11,brw6,d2,0,5,95,100,abankert,NA
barr,2011,31-May-11,brw6,d4,0,5,95,100,abankert,NA
barr,2011,31-May-11,brw6,d6,80,10,10,100,abankert,NA
barr,2011,31-May-11,brw6,d8,25,15,60,100,abankert,NA
barr,2011,31-May-11,brw6,f10,15,20,65,100,abankert,NA
barr,2011,31-May-11,brw6,f12,30,5,65,100,abankert,NA
barr,2011,31-May-11,brw6,f2,0,10,90,100,abankert,NA
barr,2011,31-May-11,brw6,f4,0,20,80,100,abankert,NA
barr,2011,31-May-11,brw6,f6,10,10,80,100,abankert,NA
barr,2011,31-May-11,brw6,f8,90,5,5,100,abankert,NA
barr,2011,31-May-11,brw6,h10,25,10,65,100,abankert,NA
barr,2011,31-May-11,brw6,h12,5,10,85,100,abankert,NA
barr,2011,31-May-11,brw6,h2,0,5,95,100,abankert,NA
barr,2011,31-May-11,brw6,h4,0,10,90,100,abankert,NA
barr,2011,31-May-11,brw6,h6,0,5,95,100,abankert,NA
barr,2011,31-May-11,brw6,h8,90,0,10,100,abankert,NA
barr,2011,31-May-11,brw6,j10,30,50,20,100,abankert,NA
barr,2011,31-May-11,brw6,j12,5,20,75,100,abankert,NA
barr,2011,31-May-11,brw6,j8,20,10,70,100,abankert,NA
barr,2011,31-May-11,brw6,l10,100,0,0,100,abankert,NA
barr,2011,31-May-11,brw6,l12,25,5,70,100,abankert,NA
barr,2011,31-May-11,brw6,l8,0,15,85,100,abankert,NA
barr,2011,31-May-11,brw8,b10,95,0,5,100,adoll,NA
barr,2011,31-May-11,brw8,b12,40,40,20,100,adoll,NA
barr,2011,31-May-11,brw8,b2,75,20,5,100,adoll,NA
barr,2011,31-May-11,brw8,b4,50,20,30,100,adoll,NA
barr,2011,31-May-11,brw8,b6,20,5,75,100,adoll,NA
barr,2011,31-May-11,brw8,b8,20,10,70,100,adoll,NA
barr,2011,31-May-11,brw8,d10,20,5,75,100,adoll,NA
barr,2011,31-May-11,brw8,d12,10,5,85,100,adoll,NA
barr,2011,31-May-11,brw8,d2,75,15,10,100,adoll,NA
barr,2011,31-May-11,brw8,d4,40,30,30,100,adoll,NA
barr,2011,31-May-11,brw8,d6,10,10,80,100,adoll,NA
barr,2011,31-May-11,brw8,d8,30,10,60,100,adoll,NA
barr,2011,31-May-11,brw8,f10,30,40,30,100,adoll,NA
barr,2011,31-May-11,brw8,f12,15,65,20,100,adoll,NA
barr,2011,31-May-11,brw8,f2,60,20,20,100,adoll,NA
barr,2011,31-May-11,brw8,f4,70,20,10,100,adoll,NA
barr,2011,31-May-11,brw8,f6,20,10,70,100,adoll,NA
barr,2011,31-May-11,brw8,f8,35,10,55,100,adoll,NA
barr,2011,31-May-11,brw8,h10,80,10,10,100,adoll,NA
barr,2011,31-May-11,brw8,h12,40,40,20,100,adoll,NA
barr,2011,31-May-11,brw8,h2,30,40,30,100,adoll,NA
barr,2011,31-May-11,brw8,h4,40,50,10,100,adoll,NA
barr,2011,31-May-11,brw8,h6,75,20,5,100,adoll,NA
barr,2011,31-May-11,brw8,h8,70,10,20,100,adoll,NA
barr,2011,31-May-11,brw8,j10,40,20,40,100,adoll,NA
barr,2011,31-May-11,brw8,j12,15,10,75,100,adoll,NA
barr,2011,31-May-11,brw8,j2,70,20,10,100,adoll,NA
barr,2011,31-May-11,brw8,j4,40,15,45,100,adoll,NA
barr,2011,31-May-11,brw8,j6,60,15,25,100,adoll,NA
barr,2011,31-May-11,brw8,j8,35,30,35,100,adoll,NA
barr,2011,31-May-11,brw8,l10,25,25,50,100,adoll,NA
barr,2011,31-May-11,brw8,l12,10,10,80,100,adoll,NA
barr,2011,31-May-11,brw8,l2,10,50,40,100,adoll,NA
barr,2011,31-May-11,brw8,l4,70,0,30,100,adoll,NA
barr,2011,31-May-11,brw8,l6,80,5,15,100,adoll,NA
barr,2011,31-May-11,brw8,l8,70,10,20,100,adoll,NA
barr,2011,31-May-11,brw2,b10,70,0,30,100,bhill,NA
barr,2011,31-May-11,brw2,b12,85,0,15,100,bhill,NA
barr,2011,31-May-11,brw2,b2,15,0,85,100,bhill,NA
barr,2011,31-May-11,brw2,b4,25,0,75,100,bhill,NA
barr,2011,31-May-11,brw2,b6,20,0,80,100,bhill,NA
barr,2011,31-May-11,brw2,b8,15,5,80,100,bhill,NA
barr,2011,31-May-11,brw2,d10,30,10,60,100,bhill,NA
barr,2011,31-May-11,brw2,d12,20,15,65,100,bhill,NA
barr,2011,31-May-11,brw2,d2,5,5,90,100,bhill,NA
barr,2011,31-May-11,brw2,d4,10,5,85,100,bhill,NA
barr,2011,31-May-11,brw2,d6,10,10,80,100,bhill,NA
barr,2011,31-May-11,brw2,d8,10,5,85,100,bhill,NA
barr,2011,31-May-11,brw2,f10,20,15,65,100,bhill,NA
barr,2011,31-May-11,brw2,f12,50,0,50,100,bhill,NA
barr,2011,31-May-11,brw2,f2,10,0,90,100,bhill,NA
barr,2011,31-May-11,brw2,f4,15,5,80,100,bhill,NA
barr,2011,31-May-11,brw2,f6,25,5,70,100,bhill,NA
barr,2011,31-May-11,brw2,f8,10,10,80,100,bhill,NA
barr,2011,31-May-11,brw2,h10,45,5,50,100,bhill,NA
barr,2011,31-May-11,brw2,h12,85,0,15,100,bhill,NA
barr,2011,31-May-11,brw2,h2,15,5,80,100,bhill,NA
barr,2011,31-May-11,brw2,h4,45,5,50,100,bhill,NA
barr,2011,31-May-11,brw2,h6,5,10,85,100,bhill,NA
barr,2011,31-May-11,brw2,h8,5,15,80,100,bhill,NA
barr,2011,31-May-11,brw2,j10,30,40,30,100,bhill,NA
barr,2011,31-May-11,brw2,j12,60,0,40,100,bhill,NA
barr,2011,31-May-11,brw2,j2,20,10,70,100,bhill,NA
barr,2011,31-May-11,brw2,j4,10,5,85,100,bhill,NA
barr,2011,31-May-11,brw2,j6,10,10,80,100,bhill,NA
barr,2011,31-May-11,brw2,j8,40,0,60,100,bhill,NA
barr,2011,31-May-11,brw2,l10,30,40,30,100,bhill,NA
barr,2011,31-May-11,brw2,l12,25,20,55,100,bhill,NA
barr,2011,31-May-11,brw2,l2,50,5,45,100,bhill,NA
barr,2011,31-May-11,brw2,l4,40,0,60,100,bhill,NA
barr,2011,31-May-11,brw2,l6,10,5,85,100,bhill,NA
barr,2011,31-May-11,brw2,l8,75,0,25,100,bhill,NA
barr,2011,31-May-11,brw1,b10,25,60,15,100,jcunningham,NA
barr,2011,31-May-11,brw1,b12,30,65,5,100,jcunningham,NA
barr,2011,31-May-11,brw1,b2,30,30,40,100,jcunningham,NA
barr,2011,31-May-11,brw1,b4,55,30,15,100,jcunningham,NA
barr,2011,31-May-11,brw1,b6,30,60,10,100,jcunningham,NA
barr,2011,31-May-11,brw1,b8,50,35,15,100,jcunningham,NA
barr,2011,31-May-11,brw1,d10,25,75,0,100,jcunningham,NA
barr,2011,31-May-11,brw1,d12,15,85,0,100,jcunningham,NA
barr,2011,31-May-11,brw1,d2,65,25,10,100,jcunningham,NA
barr,2011,31-May-11,brw1,d4,45,45,10,100,jcunningham,NA
barr,2011,31-May-11,brw1,d6,40,40,20,100,jcunningham,NA
barr,2011,31-May-11,brw1,d8,55,30,15,100,jcunningham,NA
barr,2011,31-May-11,brw1,f10,30,60,10,100,jcunningham,NA
barr,2011,31-May-11,brw1,f12,25,60,15,100,jcunningham,NA
barr,2011,31-May-11,brw1,f2,60,30,10,100,jcunningham,NA
barr,2011,31-May-11,brw1,f4,45,45,10,100,jcunningham,NA
barr,2011,31-May-11,brw1,f6,70,25,5,100,jcunningham,NA
barr,2011,31-May-11,brw1,f8,35,60,5,100,jcunningham,NA
barr,2011,31-May-11,brw1,h10,40,50,10,100,jcunningham,NA
barr,2011,31-May-11,brw1,h12,20,60,20,100,jcunningham,NA
barr,2011,31-May-11,brw1,h2,80,5,15,100,jcunningham,NA
barr,2011,31-May-11,brw1,h4,35,60,5,100,jcunningham,NA
barr,2011,31-May-11,brw1,h6,40,35,25,100,jcunningham,NA
barr,2011,31-May-11,brw1,h8,35,65,0,100,jcunningham,NA
barr,2011,31-May-11,brw1,j10,25,70,5,100,jcunningham,NA
barr,2011,31-May-11,brw1,j12,35,65,0,100,jcunningham,NA
barr,2011,31-May-11,brw1,j2,80,5,15,100,jcunningham,NA
barr,2011,31-May-11,brw1,j4,50,20,30,100,jcunningham,NA
barr,2011,31-May-11,brw1,j6,40,25,35,100,jcunningham,NA
barr,2011,31-May-11,brw1,j8,50,40,10,100,jcunningham,NA
barr,2011,31-May-11,brw1,l10,10,90,0,100,jcunningham,NA
barr,2011,31-May-11,brw1,l12,20,80,0,100,jcunningham,NA
barr,2011,31-May-11,brw1,l2,40,25,35,100,jcunningham,NA
barr,2011,31-May-11,brw1,l4,60,25,15,100,jcunningham,NA
barr,2011,31-May-11,brw1,l6,40,45,15,100,jcunningham,NA
barr,2011,31-May-11,brw1,l8,25,75,0,100,jcunningham,NA
barr,2011,31-May-11,brw5,b10,60,0,40,100,pherzog,NA
barr,2011,31-May-11,brw5,b12,60,0,40,100,pherzog,NA
barr,2011,31-May-11,brw5,b2,95,0,5,100,pherzog,NA
barr,2011,31-May-11,brw5,b4,50,5,45,100,pherzog,NA
barr,2011,31-May-11,brw5,b6,85,0,15,100,pherzog,NA
barr,2011,31-May-11,brw5,b8,80,0,20,100,pherzog,NA
barr,2011,31-May-11,brw5,d10,70,0,30,100,pherzog,NA
barr,2011,31-May-11,brw5,d12,90,0,10,100,pherzog,NA
barr,2011,31-May-11,brw5,d2,90,5,5,100,pherzog,NA
barr,2011,31-May-11,brw5,d4,90,0,10,100,pherzog,NA
barr,2011,31-May-11,brw5,d6,20,0,80,100,pherzog,NA
barr,2011,31-May-11,brw5,d8,80,0,20,100,pherzog,NA
barr,2011,31-May-11,brw5,f10,40,0,60,100,pherzog,NA
barr,2011,31-May-11,brw5,f12,75,0,25,100,pherzog,NA
barr,2011,31-May-11,brw5,f2,70,30,0,100,pherzog,NA
barr,2011,31-May-11,brw5,f4,70,5,25,100,pherzog,NA
barr,2011,31-May-11,brw5,f6,60,0,40,100,pherzog,NA
barr,2011,31-May-11,brw5,f8,60,0,40,100,pherzog,NA
barr,2011,31-May-11,brw5,h10,80,5,15,100,pherzog,NA
barr,2011,31-May-11,brw5,h12,70,0,30,100,pherzog,NA
barr,2011,31-May-11,brw5,h2,50,0,50,100,pherzog,NA
barr,2011,31-May-11,brw5,h4,65,0,35,100,pherzog,NA
barr,2011,31-May-11,brw5,h6,60,0,40,100,pherzog,NA
barr,2011,31-May-11,brw5,h8,80,0,20,100,pherzog,NA
barr,2011,31-May-11,brw5,j10,80,0,20,100,pherzog,NA
barr,2011,31-May-11,brw5,j12,90,0,10,100,pherzog,NA
barr,2011,31-May-11,brw5,j2,40,0,60,100,pherzog,NA
